 height  height gender
 187.57  109.70 Male
 174.71  73.61  Male
 188.24  96.48  Male
 182.20  99.79  Male
 177.50  93.58  Male
 170.82  69.03  Male
 174.71  83.41  Male
 173.61  76.18  Male
 170.23  79.79  Male
 161.18  70.93  Male
 180.84  84.63  Male
 181.97  96.93  Male
 164.51  75.79  Male
 175.98  85.92  Male
 175.88  84.55  Male
 171.82  78.09  Male
 183.94  88.90  Male
 162.49  78.41  Male
 176.89  84.35  Male
 172.56  82.73  Male
 172.50  78.96  Male
 176.38  89.67  Male
 168.02  67.65  Male
 191.02  103.75 Male
 172.45  73.47  Male
 173.09  87.23  Male
 175.49  83.64  Male
 184.91  93.80  Male
 171.25  79.46  Male
 173.98  70.00  Male
 174.29  85.04  Male
 188.05  96.56  Male
 181.68  88.45  Male
 175.72  93.05  Male
 176.73  92.59  Male
 178.82  87.48  Male
 175.45  89.56  Male
 170.67  83.36  Male
 167.15  74.31  Male
 163.33  73.97  Male
 172.65  78.07  Male
 183.36  88.00  Male
 165.79  76.47  Male
 167.87  73.10  Male
 171.48  74.68  Male
 178.07  85.68  Male
 173.36  84.83  Male
 183.32  94.82  Male
 175.72  87.08  Male
 185.09  95.85  Male
 164.55  75.11  Male
 178.27  91.19  Male
 173.97  78.65  Male
 171.02  82.27  Male
 170.16  76.98  Male
 168.91  74.06  Male
 173.62  86.04  Male
 179.77  87.13  Male
 180.89  89.89  Male
 177.83  95.02  Male
 181.36  90.14  Male
 176.66  89.83  Male
 187.50  88.57  Male
 170.17  74.80  Male
 181.40  81.57  Male
 165.81  70.41  Male
 173.42  83.68  Male
 184.82  100.08 Male
 172.97  83.13  Male
 175.00  89.09  Male
 176.00  83.72  Male
 179.13  94.12  Male
 176.95  80.36  Male
 171.69  73.97  Male
 184.17  98.06  Male
 180.98  92.81  Male
 182.40  91.12  Male
 183.50  100.18 Male
 168.94  89.09  Male
 167.71  76.48  Male
 171.65  82.28  Male
 173.35  90.09  Male
 187.52  107.90 Male
 177.30  78.48  Male
 167.54  72.87  Male
 180.54  85.53  Male
 169.15  94.49  Male
 175.14  87.73  Male
 173.34  78.96  Male
 183.68  89.51  Male
 182.41  91.44  Male
 165.70  82.09  Male
 179.43  82.60  Male
 164.42  80.52  Male
 170.44  74.82  Male
 165.40  75.16  Male
 182.12  87.57  Male
 169.76  81.94  Male
 168.84  78.36  Male
 176.31  80.49  Male
 177.93  91.07  Male
 169.53  76.07  Male
 168.34  70.02  Male
 173.55  80.72  Male
 177.99  83.42  Male
 174.58  81.27  Male
 171.59  71.91  Male
 168.28  75.51  Male
 175.72  78.00  Male
 171.73  79.08  Male
 176.00  85.15  Male
 173.20  91.38  Male
 181.88  92.94  Male
 175.76  81.04  Male
 170.85  74.38  Male
 187.16  101.26 Male
 176.62  92.04  Male
 173.51  85.89  Male
 172.06  80.80  Male
 182.13  101.27 Male
 161.63  75.75  Male
 174.55  81.85  Male
 170.05  74.58  Male
 159.28  68.01  Male
 183.54  87.49  Male
 180.11  91.56  Male
 171.73  81.57  Male
 179.84  89.10  Male
 176.03  85.06  Male
 168.26  77.87  Male
 171.43  86.94  Male
 167.15  75.22  Male
 181.47  84.20  Male
 173.90  80.85  Male
 162.53  68.47  Male
 180.34  95.21  Male
 173.07  78.98  Male
 173.72  81.58  Male
 172.96  76.08  Male
 173.08  83.01  Male
 174.90  76.90  Male
 168.02  78.65  Male
 168.16  82.04  Male
 171.28  83.22  Male
 176.46  93.41  Male
 179.11  83.34  Male
 181.20  91.59  Male
 180.34  98.01  Male
 168.15  72.29  Male
 184.26  95.39  Male
 171.40  81.01  Male
 165.99  66.55  Male
 179.94  88.86  Male
 177.64  77.18  Male
 164.44  76.94  Male
 176.04  89.97  Male
 174.85  81.59  Male
 157.32  66.79  Male
 174.23  80.26  Male
 165.66  84.11  Male
 163.41  80.50  Male
 174.62  77.02  Male
 184.12  90.06  Male
 170.77  92.22  Male
 170.85  87.63  Male
 165.40  80.79  Male
 168.31  73.82  Male
 171.96  72.24  Male
 166.45  78.06  Male
 177.47  91.54  Male
 173.94  77.26  Male
 183.42  93.15  Male
 173.18  77.00  Male
 182.83  90.90  Male
 167.81  80.99  Male
 169.31  76.20  Male
 171.70  80.62  Male
 173.34  87.65  Male
 164.61  73.64  Male
 171.43  83.17  Male
 173.18  82.11  Male
 176.67  95.63  Male
 168.66  75.09  Male
 169.14  88.96  Male
 182.72  91.63  Male
 173.45  77.29  Male
 177.69  91.59  Male
 182.50  87.70  Male
 167.02  81.57  Male
 170.26  70.97  Male
 194.84  106.59 Male
 184.33  104.56 Male
 177.11  92.47  Male
 184.91  98.96  Male
 184.25  100.98 Male
 183.63  94.55  Male
 170.82  81.99  Male
 192.90  105.18 Male
 168.44  77.37  Male
 180.74  85.38  Male
 180.83  88.92  Male
 183.38  97.33  Male
 190.86  101.64 Male
 163.61  71.92  Male
 164.43  75.51  Male
 161.07  72.63  Male
 172.34  79.90  Male
 167.47  79.13  Male
 180.26  87.94  Male
 171.66  84.80  Male
 174.22  78.73  Male
 178.62  87.69  Male
 183.88  94.53  Male
 179.88  93.44  Male
 167.39  78.27  Male
 189.98  105.50 Male
 171.91  80.38  Male
 170.58  79.66  Male
 182.31  96.43  Male
 164.25  75.72  Male
 173.03  89.08  Male
 169.64  75.03  Male
 169.69  80.08  Male
 172.43  79.21  Male
 175.70  88.54  Male
 178.37  93.28  Male
 164.73  71.81  Male
 172.27  76.68  Male
 161.14  61.52  Male
 182.50  98.94  Male
 169.49  70.70  Male
 182.80  91.40  Male
 193.09  107.00 Male
 181.55  88.61  Male
 171.12  80.11  Male
 179.21  90.00  Male
 177.46  84.23  Male
 172.59  80.43  Male
 188.23  97.85  Male
 175.69  84.82  Male
 169.06  77.82  Male
 169.42  78.39  Male
 170.81  76.32  Male
 175.39  74.30  Male
 179.51  86.18  Male
 166.37  71.14  Male
 165.58  78.28  Male
 171.62  76.67  Male
 187.49  104.93 Male
 181.88  93.99  Male
 172.02  78.07  Male
 173.31  90.62  Male
 167.46  76.23  Male
 181.73  89.71  Male
 175.68  89.29  Male
 174.24  81.73  Male
 180.49  85.78  Male
 161.66  71.85  Male
 180.80  94.75  Male
 167.97  84.87  Male
 165.25  71.47  Male
 172.95  82.38  Male
 180.32  92.86  Male
 188.52  104.82 Male
 176.09  84.47  Male
 164.93  82.13  Male
 173.60  90.21  Male
 180.16  92.23  Male
 156.15  73.03  Male
 173.97  86.08  Male
 183.01  90.79  Male
 184.21  100.62 Male
 180.93  97.08  Male
 183.54  91.47  Male
 171.62  84.89  Male
 183.56  89.13  Male
 159.00  68.81  Male
 168.24  75.87  Male
 176.91  90.18  Male
 175.99  81.08  Male
 179.64  87.77  Male
 174.82  89.68  Male
 167.68  83.66  Male
