 height   mass  gender
 145.16 :41.56 :Female
 163.89 :58.59 :Female
 152.29 :46.03 :Female
 164.96 :56.34 :Female
 178.95 :79.39 :Female
 168.99 :68.86 :Female
 158.92 :64.57 :Female
 158.40 :65.11 :Female
 158.39 :55.38 :Female
 170.02 :70.76 :Female
 164.48 :62.29 :Female
 166.81 :62.80 :Female
 170.44 :72.38 :Female
 156.00 :58.06 :Female
 152.78 :45.69 :Female
 155.63 :47.04 :Female
 160.88 :59.74 :Female
 154.58 :48.70 :Female
 169.76 :74.87 :Female
 164.47 :64.12 :Female
 145.47 :42.86 :Female
 166.60 :68.32 :Female
 157.90 :59.97 :Female
 148.90 :44.69 :Female
 160.62 :55.43 :Female
 168.19 :64.70 :Female
 159.18 :67.47 :Female
 165.21 :64.33 :Female
 179.93 :87.15 :Female
 153.86 :52.98 :Female
 157.44 :62.98 :Female
 146.42 :45.08 :Female
 149.05 :41.52 :Female
 150.07 :45.05 :Female
 164.08 :64.16 :Female
 160.96 :67.63 :Female
 166.54 :62.14 :Female
 158.34 :58.62 :Female
 161.16 :61.83 :Female
 148.67 :50.15 :Female
 161.97 :65.94 :Female
 159.51 :59.46 :Female
 175.69 :78.37 :Female
 165.49 :66.98 :Female
 144.12 :46.96 :Female
 158.49 :60.87 :Female
 159.94 :57.52 :Female
 153.21 :50.81 :Female
 165.62 :64.59 :Female
 164.13 :67.88 :Female
 149.64 :52.80 :Female
 165.16 :67.84 :Female
 167.51 :70.68 :Female
 156.59 :48.85 :Female
 162.28 :60.45 :Female
 164.99 :56.75 :Female
 154.14 :45.87 :Female
 155.28 :49.66 :Female
 157.67 :55.31 :Female
 156.27 :56.70 :Female
 152.83 :51.27 :Female
 164.02 :67.76 :Female
 174.52 :68.63 :Female
 161.22 :59.09 :Female
 158.84 :57.22 :Female
 156.81 :66.01 :Female
 168.88 :62.82 :Female
 146.19 :49.05 :Female
 158.30 :56.22 :Female
 166.02 :66.18 :Female
 170.73 :75.94 :Female
 165.74 :65.26 :Female
 172.11 :67.34 :Female
 154.80 :61.98 :Female
 149.45 :46.64 :Female
 161.38 :59.15 :Female
 170.22 :66.01 :Female
 155.83 :56.19 :Female
 159.99 :64.65 :Female
 157.59 :51.92 :Female
 153.18 :48.97 :Female
 158.99 :62.02 :Female
 166.77 :63.92 :Female
 162.38 :64.49 :Female
 162.65 :63.19 :Female
 164.44 :66.79 :Female
 170.36 :74.13 :Female
 144.11 :41.54 :Female
 177.53 :78.06 :Female
 161.22 :62.09 :Female
 163.52 :57.77 :Female
 159.54 :53.14 :Female
 159.27 :57.59 :Female
 166.12 :65.65 :Female
 172.37 :73.93 :Female
 172.14 :75.64 :Female
 167.86 :70.66 :Female
 167.10 :71.14 :Female
 153.00 :56.17 :Female
 167.30 :70.41 :Female
 155.42 :52.03 :Female
 177.85 :75.88 :Female
 169.07 :75.25 :Female
 163.75 :57.98 :Female
 161.59 :62.82 :Female
 168.22 :64.22 :Female
 150.99 :53.14 :Female
 157.91 :57.51 :Female
 165.66 :70.00 :Female
 160.31 :60.55 :Female
 151.47 :46.01 :Female
 149.79 :51.24 :Female
 168.40 :74.84 :Female
 176.89 :84.45 :Female
 168.72 :69.54 :Female
 166.72 :64.05 :Female
 165.28 :66.06 :Female
 163.72 :65.69 :Female
 140.08 :40.28 :Female
 163.88 :62.94 :Female
 161.68 :60.18 :Female
 162.27 :61.61 :Female
 161.85 :59.00 :Female
 169.16 :69.04 :Female
 172.81 :68.99 :Female
 164.16 :70.39 :Female
 174.62 :75.24 :Female
 162.89 :65.87 :Female
 165.12 :66.13 :Female
